id,longitude,latitude,tmcf,remove,country,realm,elevation,cloud,temperature,min_temperature,max_temperature,tr,strd,dewpoint,pressure,ssrd,precipitation,rwca,vswc,ET,PET
42,-92.683347,16.733347,Huitepec,,MEX,Neotropic,2483,0.00069827924,0.007287872,0.007909067,0.007859094,349.50797,225.85641,0.008192766,0.7367443,504.6578,0.012729732,0.00015008761,0.00021691032,0,0
43,-82.800014,9.149986,Volcán Barú/Volcan Chiriqui,,PAN,Neotropic,2570,0.00062156393,0.008094701,0.008452876,0.0083454,434.0513,221.97273,0.0084608635,0.4583471,385.21472,0.023955492,0.00013365143,0.00019187051,0,0
44,-71.666653,-12.500014,Manú,,PER,Neotropic,1727,0.0006318748,0.008152302,0.0067202584,0.006645061,372.22183,161.48003,0.006996157,0.9785628,445.21838,0.025431385,6.657768E-05,0.00013828378,0,0
45,-78.366681,-5.583319,Northern Cordillera del Colán,,PER,Neotropic,2108,0.00082155433,0.013712409,0.011956998,0.012374389,311.69476,281.25702,0.006984269,0.7963927,344.2841,0.012381831,9.633064E-05,0.00060827634,0,0
46,-78.050014,-5.733319,Southern Cordillera del Colán,,PER,Neotropic,2226,0.00069895113,0.008473437,0.0075253607,0.0075082825,552.5632,301.46683,0.0069123954,0.7436283,529.3679,0.012139507,3.0597406E-05,0.00014879803,0,0
47,-89.383319,14.416681,Montecristo,,SLV,Neotropic,1822,0.0004919292,0.01004716,0.009415821,0.009568126,466.37903,449.40417,0.009580431,0.71621543,232.07785,0.014759435,0.00013340538,0.00031745355,0,0
48,-66.050014,-16.200014,Isiboro Sécure,,BOL,Neotropic,255,0.00079061656,0.008383638,0.009302609,0.009588709,346.87674,140.55482,0.01112213,1.0215167,407.905,0.020109767,8.609606E-05,0.00038334687,0,0
49,-68.500014,-13.166681,Madidi,,BOL,Neotropic,226,0.0007708237,0.008684929,0.008495297,0.008856578,322.18997,145.11444,0.011415968,1.0692766,437.34662,0.024304645,8.790586E-05,0.00036702649,0,0
50,37.999986,12.999986,Simen Mountains,,ETH,Paleartic,2238,0.0004224572,0.008252028,0.006883397,0.0069512255,344.4871,263.28345,0.013009407,0.87057173,551.1439,0.0077409325,2.6827449E-05,0.00016160923,0,0
51,-78.633319,-3.016681,Zapote Najda Mountains,,ECU,Neotropic,3283,0.0008984828,0.009731667,0.0073262374,0.0074193226,383.01987,161.009,0.0069355257,0.7607344,673.7426,0.016873332,0.0004322504,0.00026706082,0,0
52,-77.633319,-0.566681,Volcán Sumaco,,ECU,Neotropic,2682,0.00042334961,0.008405911,0.007257887,0.007183272,530.036,170.08664,0.008025706,0.7710493,701.7012,0.043235146,0.00013022657,9.5349E-05,0,0
53,-80.683347,-1.649986,Machalilla,,ECU,Neotropic,256,0.0015778537,0.01924237,0.017919056,0.017993616,486.19662,237.77606,0.016891524,1.0783129,439.68777,0.027105667,6.81424E-05,0.0006902687,0,0
54,-79.733319,-3.674431,Buenaventura,,ECU,Neotropic,943,0.00081035896,0.012340628,0.010389032,0.010436091,357.6092,175.6609,0.010045094,0.6807117,334.67416,0.046542004,0.000121202,0.00030719512,0,0
55,-79.283319,-3.633319,Huashapamba,,ECU,Neotropic,2664,0.0006296803,0.010998984,0.009049358,0.009088504,341.13904,170.70824,0.007062119,0.56234765,640.4584,0.011491794,0.00037286655,0.00031426284,0,0
56,-79.949986,-3.950014,Vicentino,,ECU,Neotropic,889,0.0010038437,0.012524807,0.0105545055,0.010656364,359.9478,174.01822,0.011220571,0.66523933,344.03058,0.050886206,0.00012263832,0.00044931352,0,0
57,-80.000014,-4.000014,Alamor,,ECU,Neotropic,1226,0.001132938,0.013005869,0.0110283485,0.011113606,508.26678,248.33276,0.012884965,0.7204739,463.29486,0.053169597,6.371663E-05,0.00049648096,0,0
58,-79.971653,-4.124181,Celica,,ECU,Neotropic,1623,0.001149517,0.012352422,0.01053536,0.010695846,352.43167,171.31604,0.011652454,0.6384383,392.13232,0.043902643,0.00013199326,0.00044996256,0,0
59,-79.800014,-4.333319,Sozoranga,,ECU,Neotropic,1505,0.0011479196,0.012066982,0.010620914,0.010843344,358.01013,173.27705,0.010863152,0.58104557,329.43576,0.029637478,0.00012282743,0.00039346944,0,0
60,-79.366681,-4.566681,Angashcola,,ECU,Neotropic,2814,0.00049546757,0.009909887,0.00817348,0.008249414,195.23122,288.09665,0.0070175854,0.5352154,399.91928,0.014065202,2.2668173E-06,0.00027213813,0,0
61,-78.650014,-4.366681,Shaime,,ECU,Neotropic,1022,0.0007943044,0.009465841,0.007503443,0.007686599,386.52707,161.1949,0.007060241,0.8361343,688.86096,0.021876557,0.00042578616,0.00018615008,0,0
62,-78.572514,-3.996681,Chinapinza,,ECU,Neotropic,1892,0.00080292585,0.009731342,0.007613062,0.0077987965,376.77557,163.76746,0.007045049,0.81336963,622.2093,0.02074426,0.00041008755,0.00024478175,0,0
63,-64.583347,-18.616681,Palmares de Pasopaya-Presto-Rodeo,,BOL,Neotropic,1358,0.00076822535,0.008498711,0.009411066,0.009853414,300.33276,194.11972,0.010352445,0.86717314,294.357,0.004506581,6.979429E-05,0.00042279172,0,0
64,-48.166097,-24.245819,Fazenda Intervales,,BRA,Neotropic,784,0.00088091026,0.01152477,0.012504801,0.012581592,404.18146,293.4939,0.011910141,1.0248355,572.39276,0.015639152,6.224684E-05,0.00026400707,0,0
65,-45.175847,-23.468597,Bairro de Corcovado,,BRA,Neotropic,23,0.0008070772,0.010881293,0.011052566,0.011095526,414.06696,301.53238,0.011863541,1.0522335,710.5513,0.019090755,7.9144964E-05,0.00010875177,0,0
66,7.366681,1.566681,Principe Island,,STP,Paleartic,129,0.00079275307,0.0062335827,0.006158596,0.006232985,404.31998,166.06247,0.0063544177,0.8978143,351.76288,0.02722141,0.00015320562,4.6331143E-09,0,0
67,-78.248625,-4.503319,Río Comaina and Río Cenepa,,PER,Neotropic,894,0.00071473327,0.010000349,0.008442212,0.008672887,486.65317,218.30559,0.006764423,0.92677385,495.72086,0.02723332,2.7049718E-05,0.00022580498,0,0
