variable,parameter,mean,sd,HDI%,comp,HDIlo,HDIup,%>comp,%<comp,q2.5%,q25%,median,q75%,q97.5%,mcmc_se,Rhat,n_eff
dewpoint,x_pred,30.4850531205363,16.1152321186369,95,0,-1.80569352893677,61.8301108499848,0.969668688754083,0.030331311245917,-1.39585146410544,19.8368520037662,30.520915569447,41.1956908036101,62.3142773158014,0.09401480957879,1.00026328148131,29391
pressure,mu,1518.38518712196,35.2858436066661,95,0,1449.24985187417,1587.64917801311,0.999966668888741,3.33311112592494E-05,1448.47855549896,1494.62734436602,1518.66406262304,1541.98688793217,1587.02787490884,0.266170600881528,1.00021209896452,17587
pressure,sigma,725.117366342896,32.4473677975031,95,0,660.928142010804,787.841292575562,0.999966668888741,3.33311112592494E-05,663.483919329926,702.953649339759,724.584383524168,746.635205133043,790.58306334904,0.358797744125839,1.00064223356638,8206
pressure,nu,9.24654720546711,2.99301542790791,95,0,4.65463956627927,14.9063728473854,0.999966668888741,3.33311112592494E-05,5.32835342246248,7.23439743034454,8.66603726893228,10.5722431423176,16.724636937938,0.038513559997277,1.0018707333963,6195
pressure,eff_size,2.09828839077535,0.107977797008055,95,0,1.88904594712637,2.31316294305157,0.999966668888741,3.33311112592494E-05,1.89332024680726,2.02449659930849,2.09589223394901,2.16910845620623,2.31888895958534,0.001147558233353,1.00075803013103,8856
pressure,x_pred,1515.95834836392,824.459385723376,95,0,-157.057258889954,3127.00155756975,0.966402239850677,0.033597760149323,-135.292853246607,1007.32447629238,1523.35919375567,2024.14125466597,3151.48900790677,4.94323359864008,1.00005814693072,27921
precipitation,mu,-1.94286933694246,1.38536044869734,95,0,-4.72507405845624,0.713146743406793,0.080194653689754,0.919805346310246,-4.6612133569733,-2.88261437499974,-1.93807553355691,-1.01025710838755,0.778551152764923,0.01019148134498,1.0000851051334,18501
precipitation,sigma,27.3044804275752,1.38134640252732,95,0,24.5669480111953,29.9870980284207,0.999966668888741,3.33311112592494E-05,24.6450141339549,26.3597252122729,27.2835278630104,28.2231711781233,30.0794865091971,0.015880523376876,1.00025476686096,7583
precipitation,nu,5.17749889305152,1.10256436298452,95,0,3.32441298333258,7.4078897258423,0.999966668888741,3.33311112592494E-05,3.50440483901198,4.40190174028986,5.01860908763364,5.75333837997006,7.78622908130322,0.013769797020737,1.00007561663417,6544
precipitation,eff_size,-0.071386140403716,0.050987712488021,95,0,-0.170189731011529,0.029469959426535,0.080194653689754,0.919805346310246,-0.171523777431965,-0.105928448954451,-0.071026378602537,-0.036892698658994,0.02835312231625,0.000376030545921,1.0001027205553,18407
precipitation,x_pred,-2.19952259468375,35.815128115895,95,0,-71.2558135738901,69.0040755516112,0.469268715418972,0.530731284581028,-73.0283063936549,-21.9575982579443,-2.21700583927291,17.9157233246959,67.8953834109573,0.203791449095273,1.00096454226934,30896
vswc,mu,0.055236397141511,0.021754119882298,95,0,0.011446997853383,0.096916527331151,0.995366975534964,0.004633024465036,0.012454880572044,0.040551408590083,0.055153966927768,0.06982094387957,0.098133860880917,0.000162137842013,1.00007319794897,18023
