id,longitude,latitude,weight,tmcf,remove,country,realm,elevation,cloud,temperature,min_temperature,max_temperature,precipitation,dewpoint,pressure,vswc,PET
126,80.833347,7.366681,7.680250149,Knuckles,,LKA,Indomalayan,1363,-7.91E-05,0.005651575,0.006597518,0.004837664,0.00965053,0.0333371,0.6200545,0.000458697,-0.00017254
127,80.733319,7.466681,7.678482607,Gombaniya,,LKA,Indomalayan,1508,-0.000410032,0.010966133,0.010129429,0.008734775,0.011820213,0.02986058,0.550532,0.000291353,-0.000180584
128,80.783319,7.466681,7.678482607,Kalupahana,,LKA,Indomalayan,730,-0.000410032,0.010966133,0.010129429,0.008734775,0.004461356,0.02986058,0.550532,0.000291353,-0.000180584
129,80.866681,7.383319,7.679957708,Dumbanagala,,LKA,Indomalayan,1429,-7.91E-05,0.005651575,0.006597518,0.004837664,0.004598216,0.0333371,0.6200545,0.000458697,-0.000132623
130,109.699986,18.950014,7.320115103,Wuzhi Mountain,,CHN,Indomalayan,768,-0.000635594,0.026078919,0.018309973,0.01761686,0.023466978,0.026537413,1.4198763,0.000135126,-2.17E-05
131,93.916653,21.200014,7.21457945,Natma Taung/Mount Victoria,,MMR,Indomalayan,2240,-0.001012694,0.031595528,0.01607711,0.015788745,-0.058020327,0.043947283,2.4076436,0.000155711,-0.000383875
132,-43.429431,-22.607208,7.142872786,Serra do Tingu ,,BRA,Neotropic,40,-0.000902093,0.02032667,0.019688495,0.020832604,-0.003529036,-0.002354464,2.188891,-0.000810972,-0.000133445
133,-43.049986,-22.466681,7.150229157,Serra dos Orgaos,,BRA,Neotropic,2100,-0.001023348,0.017815493,0.018316505,0.019347431,-0.020610003,0.000538875,2.2503235,-0.000389034,-0.000133012
134,-78.750014,-6.233319,7.698625923,Cutervo,,PER,Neotropic,2659,0.000995943,0.009179663,0.01115667,0.010786851,-0.008742455,0.025691591,2.297307,0.000267183,-3.37E-06
135,-75.983319,-9.266681,7.642623735,Tingo Maria,,PER,Neotropic,654,-0.000239229,0.003287067,0.013371591,0.012879455,0.043110173,0.018700814,2.1328235,0.000611089,0.000153481
136,-75.349986,-10.366681,7.616949859,Yanáchanga Chemillén,,PER,Neotropic,1052,-0.001056768,0.002987413,0.016197838,0.015848434,0.011230872,0.007806419,2.2187872,-2.85E-05,-0.000342219
137,-72.866681,-13.566653,7.526158423,Ampay,,PER,Neotropic,3906,-0.002090704,0.020845415,0.027144352,0.027471056,-0.009730781,0.013339343,3.084737,2.61E-06,0.00015952
138,-72.583347,-12.199986,7.56785557,Macchu Picchu,,PER,Neotropic,1430,0.000192197,0.015149273,0.02012443,0.018947639,-0.05739219,0.012896661,2.1368747,0.00023242,0.000604868
139,-79.333347,-3.750014,7.728215507,El Sauce,,ECU,Neotropic,2937,-0.00037781,0.056457836,0.02080596,0.021192068,-0.010248032,0.029899783,2.5459905,-0.000525522,-0.0002284
140,-79.216681,-3.633319,7.729244598,Torré,,ECU,Neotropic,2554,-0.00037781,0.056457836,0.02080596,0.021192068,-0.013336158,0.029899783,2.5459905,-0.000525522,-0.0002284
141,-79.283319,-3.799986,7.72776489,Santiago,,ECU,Neotropic,2506,-0.000197481,0.05359917,0.020131288,0.020362189,-0.010648944,0.02789494,2.5166626,-0.000371763,-0.000182241
142,-79.199986,-3.683319,7.728807643,Oñacapa/Hiñuña,,ECU,Neotropic,2759,-0.000771482,0.05484296,0.018527543,0.018728046,-0.012194323,0.03463026,2.4717767,-0.00022256,-0.000174933
143,-79.366681,-3.533319,7.730100618,Cuesta de Cañabrada,,ECU,Neotropic,2573,-0.000156546,0.05535251,0.018717421,0.019236254,-0.010450462,0.03369338,2.5414126,-0.000355092,-0.000152232
144,-79.216681,-3.700014,7.728660415,Ingapirra,,ECU,Neotropic,3086,-0.00037781,0.056457836,0.02080596,0.021192068,-0.013488123,0.029899783,2.5459905,-0.000525522,-0.000174933
145,-88.966681,17.116681,7.397704835,Slate Creek Preserve,,BLZ,Neotropic,283,-0.002473541,0.04711039,0.030790484,0.031176142,-0.023379792,0.044988822,0.99369204,-0.000695141,1.86E-05
146,-89.833347,15.149986,7.472443068,Sierra de las Minas,,GTM,Neotropic,2322,-0.002092933,0.050268315,0.027001964,0.027434783,-0.021512317,0.04132609,1.6719438,-0.000772253,3.6E-05
147,-89.333347,14.499986,7.495194441,Trifinio,,GTM,Neotropic,1529,-0.002004338,0.04962552,0.027813245,0.02818942,0.002662733,0.041574143,1.6934602,-0.000487386,6.54E-05
148,-90.283319,15.249986,7.468856587,Univ. Biotope,,GTM,Neotropic,1626,-0.001626278,0.050154664,0.027296402,0.027831513,0.000122707,0.03978418,1.9510683,-0.000833858,3.63E-05
149,-77.949986,7.349986,7.680542933,Cordillera de Juradó,,PAN,Neotropic,373,-0.002059006,0.025777873,0.017709421,0.017477319,-0.059217375,0.02627327,1.3357682,-7.38E-05,0.000572287
150,-105.816653,23.466681,7.096942344,El Batel,,MEX,Neotropic,1765,-0.000501099,0.010787379,0.03949794,0.03877796,-0.009184091,-0.008244334,2.0010881,-0.000572459,-2.8E-05
151,-104.166653,19.549986,7.293078647,Sierra de Manantlán,,MEX,Neotropic,2429,0.0018611,0.020780466,0.023428746,0.020147534,0.030465204,0.055782102,2.2912414,0.000745382,-0.000111867
152,-103.616681,19.533319,7.293840604,Nevado de Colima,,MEX,Neotropic,3353,0.001610265,0.019643554,0.024759274,0.022000935,0.006669872,0.054671325,2.3587291,0.000546921,-0.000111867
153,-100.300014,19.733347,7.284654997,"Sierra Chincua, Michoacán",,MEX,Neotropic,2672,0.000716946,0.031027794,0.036348,0.035323616,0.005537967,0.04388532,2.3796895,0.000291916,-0.000135147
154,124.050014,12.800014,7.550083165,Mount Bulusan,,PHL,Indomalayan,457,-0.001131807,0.017862976,0.015851228,0.015435095,-0.002321169,0.014420502,0.06704412,0.000259632,0.000182488
155,121.199986,14.133319,7.507598956,Mount Makiling/Maquiling,,PHL,Indomalayan,943,-0.001378658,0.025553511,0.023201782,0.022913063,0.0373782,0.009447587,0.053032007,-0.000233274,0.000111008
156,98.483319,18.583319,7.336241372,Doi Inthanon,,THA,Indomalayan,2532,-0.000249152,0.024042612,0.025274862,0.024539689,0.02718581,0.039397467,1.8155692,0.00020437,-1.04E-05
157,-99.683347,17.549986,7.380052948,"Omiltempi, Guerrero",,MEX,Neotropic,2296,0.002359609,0.001590934,0.016617812,0.013319524,-0.012686591,0.05607121,2.1313045,0.001024226,2.64E-06
158,-97.883319,17.183319,7.395017894,"San Andrés Chicahuaxtla, Oaxaca",,MEX,Neotropic,2006,0.002527128,0.023259655,0.02494481,0.021964144,0.0077001,0.06317875,2.1649222,0.000695599,-2.07E-05
159,-96.666653,17.166681,7.395689708,"Cerro San Felipe, Oaxaca",,MEX,Neotropic,3246,0.000408197,0.028894117,0.02236942,0.020761842,0.00725625,0.066395424,2.2328727,0.000808599,-2.07E-05
160,-97.116681,16.200014,7.433640012,"Sierra de Maihuatlán, Oaxaca",,MEX,Neotropic,1786,0.001440857,0.025640156,0.019103711,0.01668237,-0.033218067,0.061578218,2.0852396,0.000391438,3.54E-05
161,-92.733319,16.166681,7.43491061,"La Sepultura, Chiapas",,MEX,Neotropic,621,-0.000307088,0.03581321,0.024043132,0.022854853,-0.014673492,0.055675726,1.5252664,-9.42E-05,3.44E-05
162,-99.666653,18.616681,7.334786714,"Sierra de Taxco, Guerrero",,MEX,Neotropic,2274,0.001357475,0.006862145,0.01563469,0.013091167,0.021822998,0.06791364,1.9529576,0.000855278,-2.17E-05
163,-99.316653,18.983347,7.318634214,"Ocuilan, State of M‚xico",,MEX,Neotropic,2161,0.000970924,0.024651479,0.029798727,0.027512863,-0.004769842,0.04745037,2.071032,0.000360985,3.83E-05
164,-98.633319,21.083319,7.220329883,"Tlanchinol, Hidalgo",,MEX,Neotropic,649,0.001430453,0.034549765,0.02558513,0.024830112,0.018122146,0.019817708,1.3735424,-6.23E-05,-0.000168413
165,-96.383319,17.633319,7.376609306,"Sierra de Juárez, Oaxaca",,MEX,Neotropic,1036,0.000581577,0.030721141,0.024842674,0.023477457,0.008647864,0.0380961,1.6914593,0.000254056,-5.66E-05
166,-89.089264,14.314319,7.501514425,Cerro El Pital,,SLV,Neotropic,1877,-0.001095129,0.05412648,0.03318768,0.03412667,0.03089715,0.03464129,1.5042812,-0.000649405,0.000125929
167,112.249986,-7.949986,7.669606311,Gunung Kawi,,IDN,Indomalayan,702,-0.001367104,0.03176083,0.01989474,0.019744169,0.059558425,0.022948945,0.97315747,-4.2E-05,4.75E-05
168,112.716681,-8.083319,7.667060286,Gunung Semeru,,IDN,Indomalayan,512,-0.001300992,0.028162872,0.017646307,0.017496947,0.029608803,0.021796972,1.2423054,-7.15E-06,5.68E-05
169,115.466681,-8.333319,7.662173208,Gunung Agung,,IDN,Indomalayan,1559,-0.000543428,0.020403408,0.017596513,0.017096886,0.01655474,0.019567328,1.1736747,0.000344403,0.000104913
